Gene_acc,Gene_id,log2fc,log10intensity,logFDR,Desc,desc2,ids2
24,Tb927.5.110,0.8422001938613971,5.229515901822706,-1.963987155986525,"variant surface glycoprotein (VSG)-related, putative","Tb927.5.110:mRNA-p1 | transcript=Tb927.5.110:mRNA | gene=Tb927.5.110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG)-related, putative | transcript_product=variant surface glycoprotein (VSG)-related, putative ",Tb927.5.110:mRNA-p1
25,Tb927.6.2990,0.8022416726037178,4.938727200571227,-2.0630735972005985,"Putative papain-like cysteine peptidase (DUF1796), putative","Tb927.6.2990:mRNA-p1 | transcript=Tb927.6.2990:mRNA | gene=Tb927.6.2990 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Putative papain-like cysteine peptidase (DUF1796), putative | transcript_product=Putative papain-like cysteine peptidase (DU",Tb927.6.2990:mRNA-p1
26,Tb927.5.1260,0.7959030088206439,6.649161353398886,-0.9532443917190231,"Sulfate transporter N-terminal domain with GLY motif/Sulfate transporter family, putative","Tb927.5.1260:mRNA-p1 | transcript=Tb927.5.1260:mRNA | gene=Tb927.5.1260 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Sulfate transporter N-terminal domain with GLY motif/Sulfate transporter family, putative | transcript_product=Sulfate trans",Tb927.5.1260:mRNA-p1
27,Tb927.7.7530,0.7921430210356785,6.2573845417500324,-2.254990151646123,"receptor-type adenylate cyclase GRESAG 4, putative","Tb927.7.7530:mRNA-p1 | transcript=Tb927.7.7530:mRNA | gene=Tb927.7.7530 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=receptor-type adenylate cyclase GRESAG 4, putative | transcript_product=receptor-type adenylate cyclase GRESAG 4, putative |",Tb927.7.7530:mRNA-p1;Tb927.7.7520:mRNA-p1
28,Tb927.11.13730,0.7888590741113987,5.29270249804311,-2.2237238314902856,ornithine decarboxylase,Tb927.11.13730:mRNA-p1 | transcript=Tb927.11.13730:mRNA | gene=Tb927.11.13730 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ornithine decarboxylase | transcript_product=ornithine decarboxylase | location=Tb927_11_v5.1:3655883-3657154(+) | pro,Tb927.11.13730:mRNA-p1
29,Tb927.10.1390,0.7823858069069493,7.122826006675761,-2.4415089858092163,Hypoxanthine-guanine-xanthine phosphoribosyltransferase,Tb927.10.1390:mRNA-p1 | transcript=Tb927.10.1390:mRNA | gene=Tb927.10.1390 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Hypoxanthine-guanine-xanthine phosphoribosyltransferase | transcript_product=Hypoxanthine-guanine-xanthine phosphoribosyl,Tb927.10.1390:mRNA-p1
30,Tb927.2.6150,0.7821171835620638,4.7197398860394495,-0.30604543999291095,adenosine transporter 2,Tb927.2.6150:mRNA-p1 | transcript=Tb927.2.6150:mRNA | gene=Tb927.2.6150 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=adenosine transporter 2 | transcript_product=adenosine transporter 2 | location=Tb927_02_v5.1:1107481-1108869(+) | protein_l,Tb927.2.6150:mRNA-p1
31,Tb927.10.2440,0.7787511304587073,7.320179453322868,-2.523021798319334,Metacaspase-4,Tb927.10.2440:mRNA-p1 | transcript=Tb927.10.2440:mRNA | gene=Tb927.10.2440 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Metacaspase-4 | transcript_product=Metacaspase-4 | location=Tb927_10_v5.1:630862-631923(-) | protein_length=353 | sequenc,Tb927.10.2440:mRNA-p1
32,Tb927.3.1700,0.7778377083344279,5.830871481378143,-2.411047223467327,"diacylglycerol acyltransferase, putative","Tb927.3.1700:mRNA-p1 | transcript=Tb927.3.1700:mRNA | gene=Tb927.3.1700 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=diacylglycerol acyltransferase, putative | transcript_product=diacylglycerol acyltransferase, putative | location=Tb927_03_v",Tb927.3.1700:mRNA-p1
33,Tb927.5.3500,0.7734237519452671,4.774760753602784,-1.2927248482541422,"SET domain containing protein, putative","Tb927.5.3500:mRNA-p1 | transcript=Tb927.5.3500:mRNA | gene=Tb927.5.3500 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=SET domain containing protein, putative | transcript_product=SET domain containing protein, putative | location=Tb927_05_v5.",Tb927.5.3500:mRNA-p1
34,Tb927.5.4560,0.770275099612054,7.1397464459664866,-2.0021237369573104,"guanine deaminase, putative","Tb927.5.4560:mRNA-p1 | transcript=Tb927.5.4560:mRNA | gene=Tb927.5.4560 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=guanine deaminase, putative | transcript_product=guanine deaminase, putative | location=Tb927_05_v5.1:1410838-1412388(+) | p",Tb927.5.4560:mRNA-p1;Tb11.v5.0409.1-p1;Tb05.5K5.200:mRNA-p1
35,Tb927.3.4120,0.7608172401938746,3.6833895784012465,-0.7691489740240386,"hypothetical protein, conserved","Tb927.3.4120:mRNA-p1 | transcript=Tb927.3.4120:mRNA | gene=Tb927.3.4120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_03_v5.1:1160791-116282",Tb927.3.4120:mRNA-p1
36,Tb927.7.3350,0.7597578743603999,4.194398684844541,-1.593558838395454,"palmitoyl acyltransferase 11, putative","Tb927.7.3350.1:mRNA-p1 | transcript=Tb927.7.3350.1:mRNA | gene=Tb927.7.3350 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=palmitoyl acyltransferase 11, putative | transcript_product=palmitoyl acyltransferase 11, putative | location=Tb927_07_v",Tb927.7.3350.1:mRNA-p1;Tb927.7.3350.2:mRNA-p1
37,Tb927.10.7270,0.7587715514731621,3.3867132726547813,-2.165146242991846,"hypothetical protein, conserved","Tb927.10.7270:mRNA-p1 | transcript=Tb927.10.7270:mRNA | gene=Tb927.10.7270 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:1831362-183",Tb927.10.7270:mRNA-p1
38,Tb927.7.5230,0.758629319028006,6.247583357848797,-2.164861105045969,lanosterol synthase,Tb927.7.5230:mRNA-p1 | transcript=Tb927.7.5230:mRNA | gene=Tb927.7.5230 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=lanosterol synthase | transcript_product=lanosterol synthase | location=Tb927_07_v5.1:1382167-1384887(+) | protein_length=90,Tb927.7.5230:mRNA-p1
39,Tb927.6.3140,0.7557250000498568,5.759682648150976,-2.411047223467327,Ubiquitin-like protein 11,Tb927.6.3140:mRNA-p1 | transcript=Tb927.6.3140:mRNA | gene=Tb927.6.3140 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Ubiquitin-like protein 11 | transcript_product=Ubiquitin-like protein 11 | location=Tb927_06_v5.1:925945-926232(+) | protein,Tb927.6.3140:mRNA-p1
40,Tb927.8.1460,0.749256632298825,4.951822838402116,-1.7234804823103655,"EamA-like transporter family, putative","Tb927.8.1460:mRNA-p1 | transcript=Tb927.8.1460:mRNA | gene=Tb927.8.1460 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=EamA-like transporter family, putative | transcript_product=EamA-like transporter family, putative | location=Tb927_08_v5.1:",Tb927.8.1460:mRNA-p1
41,Tb927.11.10030,0.7357270136182722,3.382366012219293,0.0,"60S ribosomal protein L29, putative","Tb927.11.10030:mRNA-p1 | transcript=Tb927.11.10030:mRNA | gene=Tb927.11.10030 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L29, putative | transcript_product=60S ribosomal protein L29, putative | location=Tb927_11_v5.1:",Tb927.11.10030:mRNA-p1;Tb927.11.10025:mRNA-p1
42,Tb10.v4.0252,0.7357270136182722,3.382366012219293,0.0,"variant surface glycoprotein (VSG, pseudogene), putative","Tb10.v4.0252:pseudogenic_transcript-p1 | transcript=Tb10.v4.0252:pseudogenic_transcript | gene=Tb10.v4.0252 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG, pseudogene), putative | transcript_product=variant su",Tb10.v4.0252:pseudogenic_transcript-p1
43,Tb927.10.2220,0.7357270136182722,3.382366012219293,0.0,PIWI-like protein,Tb927.10.2220:mRNA-p1 | transcript=Tb927.10.2220:mRNA | gene=Tb927.10.2220 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=PIWI-like protein | transcript_product=PIWI-like protein | location=Tb927_10_v5.1:571446-574754(+) | protein_length=1102 ,Tb927.10.2220:mRNA-p1
44,Tb927.2.5600,0.7357270136182722,3.382366012219293,0.0,"hypothetical protein, conserved","Tb927.2.5600:mRNA-p1 | transcript=Tb927.2.5600:mRNA | gene=Tb927.2.5600 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:1000506-100668",Tb927.2.5600:mRNA-p1;Tb927.2.5540:mRNA-p1
45,Tb09.v4.0119,0.7346276021440927,3.3824902168201794,-0.34065767370201167,"variant surface glycoprotein (VSG, pseudogene), putative","Tb09.v4.0119:pseudogenic_transcript-p1 | transcript=Tb09.v4.0119:pseudogenic_transcript | gene=Tb09.v4.0119 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG, pseudogene), putative | transcript_product=variant su",Tb09.v4.0119:pseudogenic_transcript-p1
46,Tb927.10.5780,0.7275587747175638,3.996794494145576,-1.1115946718950453,"amino acid tansporter, putative","Tb927.10.5780:mRNA-p1 | transcript=Tb927.10.5780:mRNA | gene=Tb927.10.5780 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=amino acid tansporter, putative | transcript_product=amino acid tansporter, putative | location=Tb927_10_v5.1:1434640-143",Tb927.10.5780:mRNA-p1
47,Tb927.5.3600,0.7266607461728106,6.253374747525553,-1.2959016980294134,"ATP-dependent DEAD/H RNA helicase, putative","Tb927.5.3600.2:mRNA-p1 | transcript=Tb927.5.3600.2:mRNA | gene=Tb927.5.3600 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ATP-dependent DEAD/H RNA helicase, putative | transcript_product=ATP-dependent DEAD/H RNA helicase, putative | location=",Tb927.5.3600.2:mRNA-p1;Tb927.5.3600.1:mRNA-p1
48,Tb927.11.20730,0.725127382865429,4.707514337150533,-1.912538474224608,"glycerophosphoryl diester phosphodiesterase, putative","Tb927.11.20730:mRNA-p1 | transcript=Tb927.11.20730:mRNA | gene=Tb927.11.20730 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycerophosphoryl diester phosphodiesterase, putative | transcript_product=glycerophosphoryl diester phosphodiesterase",Tb927.11.20730:mRNA-p1
49,Tb927.8.6710,0.7229108316665318,5.708449368747673,-1.3719925675666624,"hypothetical protein, conserved","Tb927.8.6710:mRNA-p1 | transcript=Tb927.8.6710:mRNA | gene=Tb927.8.6710 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_08_v5.1:1943647-194543",Tb927.8.6710:mRNA-p1
50,Tb927.5.1020,0.7216851927740252,5.5272108299105165,-0.6238510123351234,"disulfide isomerase, putative","Tb927.5.1020:mRNA-p1 | transcript=Tb927.5.1020:mRNA | gene=Tb927.5.1020 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=disulfide isomerase, putative | transcript_product=disulfide isomerase, putative | location=Tb927_05_v5.1:392488-394257(+) |",Tb927.5.1020:mRNA-p1
51,Tb927.11.7710,0.7120308645573878,6.161446306690988,-1.6639982489456084,"Gp63-1 surface protease homolog, putative","Tb927.11.7710.1-p1 | transcript=Tb927.11.7710.1 | gene=Tb927.11.7710 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Gp63-1 surface protease homolog, putative | transcript_product=Gp63-1 surface protease homolog, putative | location=Tb927_11_v5",Tb927.11.7710.1-p1;Tb11.0380:mRNA-p1
52,Tb927.2.2060,0.7065990257294953,4.992642895838807,-2.415890348192973,"variant surface glycoprotein (VSG)-related, putative","Tb927.2.2060:mRNA-p1 | transcript=Tb927.2.2060:mRNA | gene=Tb927.2.2060 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG)-related, putative | transcript_product=variant surface glycoprotein (VSG)-related, putati",Tb927.2.2060:mRNA-p1
53,Tb927.5.2250,0.7060475031242407,6.478660107060717,-1.8919113135238612,"META domain/Domain of unknown function (DUF1935), putative","Tb927.5.2250:mRNA-p1 | transcript=Tb927.5.2250:mRNA | gene=Tb927.5.2250 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=META domain/Domain of unknown function (DUF1935), putative | transcript_product=META domain/Domain of unknown function (DUF1",Tb927.5.2250:mRNA-p1;Tb927.5.2220:mRNA-p1;Tb927.5.2190:mRNA-p1
54,Tb927.5.310,0.6999998426934486,6.655655295232518,-1.704487476576266,"invariant surface glycoprotein, putative","Tb927.5.310:mRNA-p1 | transcript=Tb927.5.310:mRNA | gene=Tb927.5.310 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=invariant surface glycoprotein, putative | transcript_product=invariant surface glycoprotein, putative | location=Tb927_05_v5.1",Tb927.5.310:mRNA-p1;Tb11.v5.0208.1-p1
55,Tb11.v5.0421,0.6968136835348551,6.051810937676756,-1.135045067131733,"75 kDa invariant surface glycoprotein, putative","Tb11.v5.0421.1-p1 | transcript=Tb11.v5.0421.1 | gene=Tb11.v5.0421 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=75 kDa invariant surface glycoprotein, putative | transcript_product=75 kDa invariant surface glycoprotein, putative | location=Tb",Tb11.v5.0421.1-p1;Tb927.5.350:mRNA-p1;Tb11.v5.0552.1-p1
56,Tb927.5.309b,0.693915592751335,6.555837934879468,-1.1903451027131926,"invariant surface glycoprotein, putative","Tb927.5.309b:mRNA-p1 | transcript=Tb927.5.309b:mRNA | gene=Tb927.5.309b | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=invariant surface glycoprotein, putative | transcript_product=invariant surface glycoprotein, putative | location=Tb927_05_v",Tb927.5.309b:mRNA-p1;Tb11.v5.0216.1-p1
57,Tb927.10.6530,0.6905982118750404,4.990800645391075,-1.1476363447638893,"dolichyl-P-Man:GDP-Man5GlcNAc2-PP-dolichyl alpha-1,3-mannosyltransferase, putative","Tb927.10.6530:mRNA-p1 | transcript=Tb927.10.6530:mRNA | gene=Tb927.10.6530 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=dolichyl-P-Man:GDP-Man5GlcNAc2-PP-dolichyl alpha-1,3-mannosyltransferase, putative | transcript_product=dolichyl-P-Man:GD",Tb927.10.6530:mRNA-p1
58,Tb927.5.3880,0.690300628799283,4.736207485075583,-1.0544989042156352,"hypothetical protein, conserved","Tb927.5.3880:mRNA-p1 | transcript=Tb927.5.3880:mRNA | gene=Tb927.5.3880 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_05_v5.1:1264474-126669",Tb927.5.3880:mRNA-p1
59,Tb927.1.5120,0.6858834016220787,6.090961445753492,-1.5296922572085492,"expression site-associated gene 1 (ESAG1) protein, putative","Tb927.1.5120:mRNA-p1 | transcript=Tb927.1.5120:mRNA | gene=Tb927.1.5120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene 1 (ESAG1) protein, putative | transcript_product=expression site-associated gene 1 (ESAG1) p",Tb927.1.5120:mRNA-p1;Tb927.1.4910:mRNA-p1;Tb927.1.4870:mRNA-p1
60,Tb927.10.16220,0.6830639525415755,5.20156380333807,0.0,"Variant Surface Glycoprotein, putative","Tb927.10.16220:mRNA-p1 | transcript=Tb927.10.16220:mRNA | gene=Tb927.10.16220 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Variant Surface Glycoprotein, putative | transcript_product=Variant Surface Glycoprotein, putative | location=Tb927_10",Tb927.10.16220:mRNA-p1;Tb10.v4.0209:mRNA-p1;Tb11.v5.0416.1-p1;Tb927.11.17350:mRNA-p1;Tb11.1720.1-p1;Tb927.11.19460:pseudogenic_transcript-p1;Tb09.v4.0194:pseudogenic_transcript-p1;Tb927.11.18050:mRNA-p1;Tb09.v4.0075:pseudogenic_transcript-p1;Tb11.v5.0850.1-p1;Tb927.3.180:mRNA-p1;Tb11.1120:pseudogenic_transcript-p1;Tb10.v4.0163:mRNA-p1;Tb927.9.17280:pseudogenic_transcript-p1;Tb927.9.1070:pseudogenic_transcript-p1;Tb927.6.5500:pseudogenic_transcript-p1;Tb927.3.370:mRNA-p1
61,Tb927.5.370,0.6701935755038655,6.243294536430277,-0.8391634194099973,"75 kDa invariant surface glycoprotein, putative","Tb927.5.370:mRNA-p1 | transcript=Tb927.5.370:mRNA | gene=Tb927.5.370 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=75 kDa invariant surface glycoprotein, putative | transcript_product=75 kDa invariant surface glycoprotein, putative | location",Tb927.5.370:mRNA-p1;Tb11.v5.0230.1-p1
